dataset,rows,seed,method,status,elapsed_seconds,peak_memory_gib,loss,selected_size,selected_fraction,model_fits,jaccard,error
miniboone,5000,504,ungated-T1,complete,21.355756791308522,0.205230712890625,0.23420978080085955,32.0,0.64,2442,0.5544159544159544,
miniboone,5000,504,gated-T2,complete,45.91587408259511,0.205230712890625,0.23627535844864692,32.0,0.64,4869,0.5397935397935398,
miniboone,5000,504,ungated-T2,complete,43.88698420859873,0.205230712890625,0.23427794353946832,38.0,0.76,4788,0.6403418803418804,
miniboone,5000,505,all,complete,0.1046038344502449,0.196319580078125,0.2343367931896202,50.0,1.0,3,1.0,
miniboone,5000,505,l1,complete,3.4911802913993597,0.196319580078125,0.2350350186451724,42.666666666666664,0.8533333333333333,96,0.7174149659863945,
miniboone,5000,505,gated-T1,complete,23.530830374918878,0.196319580078125,0.23594617260433914,38.0,0.76,2481,0.6012698412698413,
miniboone,5000,505,ungated-T1,complete,22.689033624716103,0.196319580078125,0.24613589015388926,26.666666666666668,0.5333333333333333,2443,0.48877005347593583,
miniboone,5000,505,gated-T2,complete,45.49294604174793,0.196319580078125,0.2376210068866288,32.0,0.64,4868,0.5243857421962924,
miniboone,5000,505,ungated-T2,complete,43.33663079049438,0.196319580078125,0.2369351281004092,32.0,0.64,4781,0.6178464178464179,
yearpredictionmsd,3000,501,all,complete,0.05528208427131176,0.149688720703125,94.90226303609143,90.0,1.0,3,1.0,
yearpredictionmsd,3000,501,l1,complete,1.129235959611833,0.158416748046875,94.58915180874415,61.666666666666664,0.6851851851851851,96,0.6307619402645254,
yearpredictionmsd,3000,501,gated-T1,complete,23.48172895796597,0.1611785888671875,103.20338877656938,21.333333333333332,0.23703703703703702,4401,0.23076923076923075,
yearpredictionmsd,3000,501,ungated-T1,complete,22.74692020751536,0.1611785888671875,99.83556181939049,21.333333333333332,0.23703703703703702,4362,0.26246099579432913,
yearpredictionmsd,3000,501,gated-T2,complete,46.06266412511468,0.1611785888671875,102.20902111175565,16.0,0.17777777777777778,8707,0.24839506172839507,
yearpredictionmsd,3000,501,ungated-T2,complete,44.91573687456548,0.1611785888671875,98.03786115583334,32.0,0.35555555555555557,8627,0.3818754925137904,
yearpredictionmsd,3000,502,all,complete,0.058669124729931355,0.129486083984375,96.82000955473977,90.0,1.0,3,1.0,
yearpredictionmsd,3000,502,l1,complete,1.0918762078508735,0.129486083984375,95.63446215070213,59.666666666666664,0.662962962962963,96,0.5450529894974339,
yearpredictionmsd,3000,502,gated-T1,complete,23.49701941665262,0.1604156494140625,99.29150189704683,8.0,0.08888888888888889,4401,0.26495726495726496,
yearpredictionmsd,3000,502,ungated-T1,complete,22.991732416674495,0.163330078125,99.72342162708765,6.666666666666667,0.07407407407407408,4361,0.3737373737373737,
yearpredictionmsd,3000,502,gated-T2,complete,46.36085525061935,0.163330078125,100.94016919834475,6.666666666666667,0.07407407407407408,8709,0.3547008547008547,
yearpredictionmsd,3000,502,ungated-T2,complete,45.16572954133153,0.163330078125,100.88529961406704,6.666666666666667,0.07407407407407408,8626,0.29914529914529914,
yearpredictionmsd,3000,503,all,complete,0.055163790471851826,0.123809814453125,98.4408777253379,90.0,1.0,3,1.0,
yearpredictionmsd,3000,503,l1,complete,1.0933183329179883,0.1361083984375,97.61204752315962,62.333333333333336,0.6925925925925926,96,0.5989878542510122,
yearpredictionmsd,3000,503,gated-T1,complete,23.7341563757509,0.163848876953125,103.9011138853976,13.333333333333334,0.14814814814814817,4401,0.21226142278773855,
yearpredictionmsd,3000,503,ungated-T1,complete,23.174377458170056,0.1638641357421875,99.88443606935164,10.666666666666666,0.11851851851851851,4365,0.399881164587047,
yearpredictionmsd,3000,503,gated-T2,complete,47.445018167607486,0.1638641357421875,102.53607224415045,10.666666666666666,0.11851851851851851,8709,0.24644945697577278,
yearpredictionmsd,3000,503,ungated-T2,complete,46.197935375384986,0.1638641357421875,103.10474210922668,10.666666666666666,0.11851851851851851,8635,0.3503455608718766,
yearpredictionmsd,3000,504,all,complete,0.05627895798534155,0.124847412109375,100.46280279239669,90.0,1.0,3,1.0,
yearpredictionmsd,3000,504,l1,complete,1.097899416461587,0.138702392578125,100.04026442977666,59.333333333333336,0.6592592592592593,96,0.5542857142857143,
yearpredictionmsd,3000,504,gated-T1,complete,24.213723292574286,0.161590576171875,100.29298325581952,16.0,0.17777777777777778,4401,0.22045855379188714,
yearpredictionmsd,3000,504,ungated-T1,complete,23.16825887467712,0.161590576171875,101.00514745660331,10.666666666666666,0.11851851851851851,4364,0.26549707602339184,
yearpredictionmsd,3000,504,gated-T2,complete,45.38817487470806,0.161590576171875,103.488251791023,12.0,0.13333333333333333,8709,0.21907993966817496,
yearpredictionmsd,3000,504,ungated-T2,complete,44.8748980415985,0.161590576171875,103.6571149866475,6.666666666666667,0.07407407407407408,8621,0.48484848484848486,
yearpredictionmsd,3000,505,all,complete,0.05086608324199915,0.142059326171875,111.09089922457893,90.0,1.0,3,1.0,
yearpredictionmsd,3000,505,l1,complete,1.0953143751248717,0.1603240966796875,110.45249714967935,61.333333333333336,0.6814814814814815,96,0.6211654692667351,
yearpredictionmsd,3000,505,gated-T1,complete,22.3816207498312,0.168701171875,118.70955172679437,16.0,0.17777777777777778,4401,0.11168311168311168,
yearpredictionmsd,3000,505,ungated-T1,complete,21.760182249359787,0.1690826416015625,115.29654685066355,14.666666666666666,0.16296296296296295,4361,0.18903318903318903,
yearpredictionmsd,3000,505,gated-T2,complete,43.82321791630238,0.1690826416015625,116.51368439449716,9.333333333333334,0.10370370370370371,8709,0.23660130718954245,
yearpredictionmsd,3000,505,ungated-T2,complete,43.22362258378416,0.1690826416015625,114.10251144690507,16.0,0.17777777777777778,8629,0.18336565395388926,
yearpredictionmsd,5000,501,all,complete,0.08451300021260977,0.1659393310546875,91.03026448114183,90.0,1.0,3,1.0,
yearpredictionmsd,5000,501,l1,complete,1.7313201250508428,0.1875762939453125,90.93446983662368,69.66666666666667,0.7740740740740741,96,0.6793415410708272,
yearpredictionmsd,5000,501,gated-T1,complete,33.89805641584098,0.19775390625,91.76482133792166,65.33333333333333,0.7259259259259259,4401,0.4518518518518519,
yearpredictionmsd,5000,501,ungated-T1,complete,32.56817325018346,0.19775390625,94.93268181450986,18.666666666666668,0.20740740740740743,4362,0.2730015082956259,
yearpredictionmsd,5000,501,gated-T2,complete,66.4812112916261,0.19775390625,96.48174380155156,21.333333333333332,0.23703703703703702,8707,0.27402452619843926,
yearpredictionmsd,5000,501,ungated-T2,complete,66.3467005006969,0.19775390625,95.31100416642452,35.333333333333336,0.3925925925925926,8627,0.17037037037037037,
yearpredictionmsd,5000,502,all,complete,0.08612174913287163,0.1702423095703125,97.82657405631738,90.0,1.0,3,1.0,
yearpredictionmsd,5000,502,l1,complete,1.8057678751647472,0.1880340576171875,97.92248591086779,69.33333333333333,0.7703703703703704,96,0.6425164890918316,
yearpredictionmsd,5000,502,gated-T1,complete,34.35878370888531,0.18878173828125,99.65053677678499,65.33333333333333,0.7259259259259259,4401,0.4518518518518519,
yearpredictionmsd,5000,502,ungated-T1,complete,32.739142041653395,0.18878173828125,100.71143181523702,26.666666666666668,0.29629629629629634,4361,0.31621879521039187,
yearpredictionmsd,5000,502,gated-T2,complete,70.37093125004321,0.18878173828125,102.51002836269755,26.666666666666668,0.29629629629629634,8709,0.26495726495726496,
yearpredictionmsd,5000,502,ungated-T2,complete,67.38817329145968,0.18878173828125,99.56733309925748,46.0,0.5111111111111111,8626,0.3150326797385621,
yearpredictionmsd,5000,503,all,complete,0.08705466613173485,0.171142578125,92.79538552747954,90.0,1.0,3,1.0,
yearpredictionmsd,5000,503,l1,complete,1.7702146675437689,0.1973724365234375,93.1785707717695,67.66666666666667,0.7518518518518519,96,0.6315974080019023,
yearpredictionmsd,5000,503,gated-T1,complete,34.38496020901948,0.212554931640625,95.51658914998849,70.66666666666667,0.7851851851851852,4401,0.5703703703703704,
yearpredictionmsd,5000,503,ungated-T1,complete,33.6062418743968,0.2127532958984375,95.57231236491428,32.0,0.35555555555555557,4365,0.3621132696063316,
yearpredictionmsd,5000,503,gated-T2,complete,66.32372200023383,0.2127532958984375,95.99786915123775,51.333333333333336,0.5703703703703704,8709,0.3303703703703704,
yearpredictionmsd,5000,503,ungated-T2,complete,66.79031704179943,0.2127532958984375,95.38993420960323,32.0,0.35555555555555557,8635,0.432996632996633,
yearpredictionmsd,5000,504,all,complete,0.08647750038653612,0.159576416015625,96.70259667495337,90.0,1.0,3,1.0,
yearpredictionmsd,5000,504,l1,complete,1.771267875097692,0.1920928955078125,96.04206931203687,55.666666666666664,0.6185185185185185,96,0.6554112554112554,
yearpredictionmsd,5000,504,gated-T1,complete,36.16774587519467,0.208648681640625,100.32483921367964,18.666666666666668,0.20740740740740743,4401,0.17119628339140536,
yearpredictionmsd,5000,504,ungated-T1,complete,34.853327833116055,0.208953857421875,101.17817862359966,13.333333333333334,0.14814814814814817,4364,0.32898913951545533,
yearpredictionmsd,5000,504,gated-T2,complete,69.52128208335489,0.208953857421875,100.70735629355472,13.333333333333334,0.14814814814814817,8709,0.26376811594202904,
yearpredictionmsd,5000,504,ungated-T2,complete,67.55695129185915,0.208953857421875,100.90013704389513,13.333333333333334,0.14814814814814817,8621,0.3503455608718766,
yearpredictionmsd,5000,505,all,complete,0.08735462557524443,0.1623077392578125,91.87577861044231,90.0,1.0,3,1.0,
yearpredictionmsd,5000,505,l1,complete,1.798925374634564,0.1917266845703125,91.76984129485153,65.66666666666667,0.7296296296296296,96,0.6775162785851956,
yearpredictionmsd,5000,505,gated-T1,complete,35.355385875329375,0.199737548828125,95.99198709013433,21.333333333333332,0.23703703703703702,4401,0.23565323565323562,
yearpredictionmsd,5000,505,ungated-T1,complete,34.375208124518394,0.2003173828125,97.33531497423712,10.666666666666666,0.11851851851851851,4361,0.30994152046783624,
yearpredictionmsd,5000,505,gated-T2,complete,69.17691633291543,0.2003173828125,96.34244095326726,16.0,0.17777777777777778,8709,0.30657687991021326,
yearpredictionmsd,5000,505,ungated-T2,complete,67.9532979177311,0.2003173828125,97.52152622323199,10.666666666666666,0.11851851851851851,8629,0.2888888888888889,
