dataset,rows,seed,method,status,new_model_fits,original_method_fits,elapsed_seconds,peak_memory_gib,all_loss,l1_loss,error,one_se_loss,argmin_loss,one_se_size,argmin_size,one_se_jaccard,argmin_jaccard,loss_difference,size_difference,jaccard_difference,changed_folds,one_se_minus_all,one_se_minus_l1,argmin_minus_all,argmin_minus_l1
miniboone,5000,501,ungated-T2,complete,6,4782,0.18980383314192295,0.210296630859375,0.23541224866577284,0.238584354496166,,0.23680593572226968,0.23541224866577284,44.0,50.0,0.7600000000000001,1.0,-0.0013936870564968395,6.0,0.23999999999999988,1,0.0013936870564968395,-0.001778418773896312,0.0,-0.0031721058303931515
miniboone,5000,502,gated-T1,complete,6,2481,0.1493784161284566,0.20147705078125,0.2477160593752956,0.24789715357610187,,0.2541538391165079,0.2528226231821948,32.666666666666664,44.0,0.4438095238095238,0.7600000000000001,-0.0013312159343131236,11.333333333333336,0.3161904761904763,2,0.006437779741212318,0.006256685540406037,0.005106563806899195,0.004925469606092914
miniboone,5000,502,gated-T2,complete,6,4869,0.15044729225337505,0.2139739990234375,0.2477160593752956,0.24789715357610187,,0.25675261130771554,0.2477160593752956,26.666666666666668,50.0,0.4483660130718954,1.0,-0.00903655193241995,23.333333333333332,0.5516339869281046,3,0.00903655193241995,0.00885545773161367,0.0,-0.00018109420080628102
miniboone,5000,502,ungated-T1,complete,6,2441,0.1483410419896245,0.20941162109375,0.2477160593752956,0.24789715357610187,,0.25730525734608606,0.2477160593752956,26.666666666666668,50.0,0.41021021021021026,1.0,-0.00958919797079047,23.333333333333332,0.5897897897897897,3,0.00958919797079047,0.009408103769984189,0.0,-0.00018109420080628102
miniboone,5000,502,ungated-T2,complete,6,4779,0.12965845875442028,0.214202880859375,0.2477160593752956,0.24789715357610187,,0.2554675595320354,0.25391402446266703,26.666666666666668,38.666666666666664,0.5024452671511495,0.5466666666666667,-0.0015535350693683947,11.999999999999996,0.04422139951551729,2,0.007751500156739838,0.007570405955933557,0.006197965087371443,0.006016870886565162
miniboone,5000,503,gated-T1,complete,6,2481,0.1812481665983796,0.190887451171875,0.23749033338999725,0.24004208392913026,,0.23927684899074034,0.23749033338999725,38.0,50.0,0.5894573643410853,1.0,-0.0017865156007430827,12.0,0.4105426356589147,2,0.0017865156007430827,-0.0007652349383899248,0.0,-0.0025517505391330075
miniboone,5000,503,gated-T2,complete,6,4868,0.20224391762167215,0.190887451171875,0.23749033338999725,0.24004208392913026,,0.238327070125789,0.23749033338999725,44.0,50.0,0.7600000000000001,1.0,-0.0008367367357917377,6.0,0.23999999999999988,1,0.0008367367357917377,-0.0017150138033412698,0.0,-0.0025517505391330075
miniboone,5000,503,ungated-T1,complete,6,2443,0.19988516718149185,0.190887451171875,0.23749033338999725,0.24004208392913026,,0.23775285238888813,0.23749033338999725,44.0,50.0,0.7600000000000001,1.0,-0.00026251899889087604,6.0,0.23999999999999988,1,0.00026251899889087604,-0.0022892315402421315,0.0,-0.0025517505391330075
miniboone,5000,503,ungated-T2,complete,6,4788,0.21669504139572382,0.190887451171875,0.23749033338999725,0.24004208392913026,,0.24100028983553476,0.23749033338999725,38.0,50.0,0.6266666666666666,1.0,-0.0035099564455375043,12.0,0.3733333333333334,2,0.0035099564455375043,0.0009582059064044968,0.0,-0.0025517505391330075
miniboone,5000,504,gated-T1,complete,6,2481,0.18209116719663143,0.2047576904296875,0.23057056712755575,0.23057056712755575,,0.23765584933279757,0.23057056712755575,38.0,50.0,0.5894573643410853,1.0,-0.007085282205241822,12.0,0.4105426356589147,2,0.007085282205241822,0.007085282205241822,0.0,0.0
miniboone,5000,504,gated-T2,complete,6,4869,0.15394604112952948,0.2047576904296875,0.23057056712755575,0.23057056712755575,,0.23627535844864692,0.2300182842903932,32.0,44.0,0.5397935397935398,0.7600000000000001,-0.006257074158253717,12.0,0.22020646020646029,2,0.005704791321091168,0.005704791321091168,-0.0005522828371625488,-0.0005522828371625488
miniboone,5000,504,ungated-T1,complete,6,2442,0.1701602917164564,0.2047576904296875,0.23057056712755575,0.23057056712755575,,0.23420978080085955,0.23057056712755575,32.0,50.0,0.5544159544159544,1.0,-0.003639213673303804,18.0,0.44558404558404563,3,0.003639213673303804,0.003639213673303804,0.0,0.0
miniboone,5000,504,ungated-T2,complete,6,4788,0.18058691639453173,0.2047576904296875,0.23057056712755575,0.23057056712755575,,0.23427794353946832,0.23057056712755575,38.0,50.0,0.6403418803418804,1.0,-0.003707376411912572,12.0,0.35965811965811956,2,0.003707376411912572,0.003707376411912572,0.0,0.0
miniboone,5000,505,gated-T1,complete,6,2481,0.16816629189997911,0.208038330078125,0.2343367931896202,0.2350350186451724,,0.23594617260433914,0.2350392022705288,38.0,44.0,0.6012698412698413,0.7600000000000001,-0.0009069703338103474,6.0,0.15873015873015883,1,0.0016093794147189477,0.0009111539591667439,0.0007024090809086003,4.183625356396492e-06
miniboone,5000,505,gated-T2,complete,6,4868,0.17062162421643734,0.209136962890625,0.2343367931896202,0.2350350186451724,,0.2376210068866288,0.2343367931896202,32.0,50.0,0.5243857421962924,1.0,-0.0032842136970085978,18.0,0.4756142578037076,3,0.0032842136970085978,0.002585988241456394,0.0,-0.0006982254555522038
miniboone,5000,505,ungated-T1,complete,6,2443,0.21078416611999273,0.209136962890625,0.2343367931896202,0.2350350186451724,,0.24613589015388926,0.2343367931896202,26.666666666666668,50.0,0.48877005347593583,1.0,-0.011799096964269062,23.333333333333332,0.5112299465240642,3,0.011799096964269062,0.011100871508716859,0.0,-0.0006982254555522038
miniboone,5000,505,ungated-T2,complete,6,4781,0.16737679205834866,0.209136962890625,0.2343367931896202,0.2350350186451724,,0.2369351281004092,0.2343367931896202,32.0,50.0,0.6178464178464179,1.0,-0.0025983349107890075,18.0,0.3821535821535821,3,0.0025983349107890075,0.0019001094552368036,0.0,-0.0006982254555522038
yearpredictionmsd,3000,501,gated-T1,complete,6,4401,0.06123791728168726,0.1474456787109375,94.90226303609143,94.58915180874415,,103.20338877656938,97.90931901512072,21.333333333333332,70.66666666666667,0.23076923076923075,0.5703703703703704,-5.294069761448668,49.33333333333334,0.3396011396011397,3,8.301125740477957,8.614236967825235,3.007055979029289,3.320167206376567
yearpredictionmsd,3000,501,gated-T2,complete,6,8707,0.05173045862466097,0.1575164794921875,94.90226303609143,94.58915180874415,,102.20902111175565,96.81713742029365,16.0,51.333333333333336,0.24839506172839507,0.3576044129235619,-5.391883691461999,35.333333333333336,0.10920935119516681,3,7.30675807566422,7.619869303011498,1.9148743842022213,2.2279856115494994
yearpredictionmsd,3000,501,ungated-T1,complete,6,4362,0.060336584225296974,0.1561737060546875,94.90226303609143,94.58915180874415,,99.83556181939049,95.00671973224972,21.333333333333332,70.66666666666667,0.26246099579432913,0.5703703703703704,-4.828842087140771,49.33333333333334,0.3079093745760413,3,4.933298783299065,5.246410010646343,0.10445669615829445,0.4175679235055725
yearpredictionmsd,3000,501,ungated-T2,complete,6,8627,0.06144824996590614,0.159881591796875,94.90226303609143,94.58915180874415,,98.03786115583334,95.2901166607221,32.0,70.66666666666667,0.3818754925137904,0.5703703703703704,-2.7477444951112346,38.66666666666667,0.18849487785658003,2,3.135598119741914,3.448709347089192,0.3878536246306794,0.7009648519779574
yearpredictionmsd,3000,502,gated-T1,complete,6,4401,0.055629915557801723,0.15283203125,96.82000955473977,95.63446215070213,,99.29150189704683,96.94840039652239,8.0,70.66666666666667,0.26495726495726496,0.5703703703703704,-2.3431015005244404,62.66666666666667,0.30541310541310546,3,2.4714923423070587,3.6570397463446938,0.12839084178261828,1.3139382458202533
yearpredictionmsd,3000,502,gated-T2,complete,6,8709,0.0292374175041914,0.1572723388671875,96.82000955473977,95.63446215070213,,100.94016919834475,96.15758616968917,6.666666666666667,26.666666666666668,0.3547008547008547,0.365714940947139,-4.78258302865558,20.0,0.011014086246284305,3,4.120159643604978,5.305707047642613,-0.6624233850506016,0.5231240189870334
yearpredictionmsd,3000,502,ungated-T1,complete,6,4361,0.03475537430495024,0.1572723388671875,96.82000955473977,95.63446215070213,,99.72342162708765,96.37811720145908,6.666666666666667,40.666666666666664,0.3737373737373737,0.2931216931216931,-3.3453044256285693,34.0,-0.08061568061568058,3,2.9034120723478765,4.0889594763855115,-0.4418923532806929,0.7436550507569422
