dataset,rows,seed,method,fold,one_se_size,argmin_size,argmin,one_se,loss_difference
miniboone,5000,504,ungated-T2,0,50,50,0.22789270293166689,0.22789270293166689,0.0
miniboone,5000,504,ungated-T2,1,32,50,0.23006585248264547,0.23647931061473318,-0.006413458132087713
miniboone,5000,504,ungated-T2,2,32,50,0.23375314596835484,0.23846181707200492,-0.004708671103650086
miniboone,5000,505,gated-T1,0,32,50,0.2299094476774826,0.23263035867891357,-0.0027209110014309867
miniboone,5000,505,gated-T1,1,32,32,0.2474641644322948,0.2474641644322948,0.0
miniboone,5000,505,gated-T1,2,50,50,0.22774399470180903,0.22774399470180903,0.0
miniboone,5000,505,gated-T2,0,32,50,0.2299094476774826,0.23570733193370672,-0.005797884256224128
miniboone,5000,505,gated-T2,1,32,50,0.2453569371895689,0.24619500780521747,-0.0008380706156485562
miniboone,5000,505,gated-T2,2,32,50,0.22774399470180903,0.2309606809209622,-0.003216686219153164
miniboone,5000,505,ungated-T1,0,16,50,0.2299094476774826,0.26015479709361794,-0.030245349416135353
miniboone,5000,505,ungated-T1,1,32,50,0.2453569371895689,0.24902865827530268,-0.00367172108573377
miniboone,5000,505,ungated-T1,2,32,50,0.22774399470180903,0.2292242150927471,-0.001480220390938064
miniboone,5000,505,ungated-T2,0,32,50,0.2299094476774826,0.2308203804164432,-0.0009109327389606181
miniboone,5000,505,ungated-T2,1,32,50,0.2453569371895689,0.2516677501774652,-0.006310812987896264
miniboone,5000,505,ungated-T2,2,32,50,0.22774399470180903,0.2283172537073192,-0.0005732590055101683
yearpredictionmsd,3000,501,gated-T1,0,16,32,93.03487289303162,99.181991092972,-6.14711819994038
yearpredictionmsd,3000,501,gated-T1,1,32,90,111.53973329591844,112.83288371105284,-1.2931504151344058
yearpredictionmsd,3000,501,gated-T1,2,16,90,89.15335085641212,97.59529152568328,-8.441940669271162
yearpredictionmsd,3000,501,gated-T2,0,16,90,84.01370495594374,96.02759581174291,-12.013890855799175
yearpredictionmsd,3000,501,gated-T2,1,16,32,112.21861345718312,115.68245941437284,-3.4638459571897187
yearpredictionmsd,3000,501,gated-T2,2,16,32,94.21909384775408,94.91700810915118,-0.6979142613971021
yearpredictionmsd,3000,501,ungated-T1,0,16,90,84.01370495594374,94.70063241224646,-10.686927456302726
yearpredictionmsd,3000,501,ungated-T1,1,32,90,111.53973329591844,112.50826100161316,-0.9685277056947257
yearpredictionmsd,3000,501,ungated-T1,2,16,32,89.46672094488694,92.29779204431185,-2.8310710994249035
yearpredictionmsd,3000,501,ungated-T2,0,32,90,84.01370495594374,92.26991591326279,-8.256210957319055
yearpredictionmsd,3000,501,ungated-T2,1,32,90,111.53973329591844,111.52675582393309,0.012977471985351485
yearpredictionmsd,3000,501,ungated-T2,2,32,32,90.31691173030416,90.31691173030416,0.0
yearpredictionmsd,3000,502,gated-T1,0,8,90,87.37495977230805,91.09140319936222,-3.7164434270541733
yearpredictionmsd,3000,502,gated-T1,1,8,32,103.20634154409038,107.15135816890093,-3.945016624810549
yearpredictionmsd,3000,502,gated-T1,2,8,90,100.26389987316871,99.63174432287734,0.6321555502913725
yearpredictionmsd,3000,502,gated-T2,0,8,32,87.98039264687881,93.22233912821154,-5.241946481332732
yearpredictionmsd,3000,502,gated-T2,1,4,16,101.51486579088662,108.07611430505014,-6.561248514163523
yearpredictionmsd,3000,502,gated-T2,2,8,32,98.97750007130205,101.5220541617726,-2.5445540904705553
yearpredictionmsd,3000,502,ungated-T1,0,4,90,87.37495977230805,95.70648700935024,-8.331527237042195
yearpredictionmsd,3000,502,ungated-T1,1,8,16,101.55556661164007,103.02098192506327,-1.4654153134231933
yearpredictionmsd,3000,502,ungated-T1,2,8,16,100.20382522042908,100.44279594684942,-0.2389707264203338
yearpredictionmsd,3000,502,ungated-T2,0,8,90,87.37495977230805,94.94804021427362,-7.573080441965573
yearpredictionmsd,3000,502,ungated-T2,1,4,32,100.83334563779827,108.07611430505014,-7.242768667251866
