n,rho,snr,contexts,control,seeds,valid,valid_fraction,compute_matched,local_passes,control_passes,local_wins,local_losses,ties,clears_minimum_effect,max_measured_imbalance,failure_reasons,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high,jaccard_between_methods_n,jaccard_between_methods_mean,jaccard_between_methods_mcse,jaccard_between_methods_low,jaccard_between_methods_high
1000,0.5,2.0,2,global,10,8,0.8,10,9,9,3,2,3,3,0.0,"{""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",8,0.013888888888888895,0.03278315801956013,-0.06363096160796146,0.09140873938573925,10,0.0001379302812714922,0.005847021566405973,-0.01308895143620936,0.013364811998752344,10,0.09999999999999995,0.1319371343004213,-0.19846253339676687,0.39846253339676674,10,0.9027777777777779,0.019966535789673917,0.8576103358249003,0.9479452197306555
1000,0.5,2.0,2,loco-matched,10,9,0.9,10,9,10,2,2,5,2,0.018421052631578946,"{""candidate_failed_constraints"": 1}",9,0.012345679012345697,0.0343689158199384,-0.06690918299091614,0.09160054101560752,10,-0.0004062180807618776,0.005110210810728536,-0.011966318069660257,0.011153881908136501,10,-4.4408920985006264e-17,0.17213259316477408,-0.38939097857872307,0.38939097857872296,10,0.8522222222222222,0.039589803456482435,0.7626638647593673,0.9417805796850771
1000,0.5,2.0,4,global,10,7,0.7,10,7,8,0,0,7,0,0.0,"{""both_failed_constraints"": 2, ""candidate_failed_constraints"": 1}",7,0.0,0.0,0.0,0.0,10,0.0026759509276553795,0.0031877690554581585,-0.0045352836744957615,0.009887185529806521,10,0.0,0.04969039949999528,-0.11240749315121866,0.11240749315121866,10,0.9583333333333333,0.02785483140090986,0.8953213269612287,1.021345339705438
1000,0.5,2.0,4,loco-matched,10,7,0.7,10,7,9,1,3,3,1,0.030831099195710455,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 2}",7,-0.03174603174603176,0.0526448379421492,-0.16056330960828347,0.09707124611621996,10,0.010321731515809762,0.006907281606559843,-0.005303625045933879,0.0259470880775534,10,-0.2666666666666667,0.20964402515681338,-0.7409143998129992,0.20758106647966573,10,0.7472222222222222,0.03685371296249653,0.6638533314684016,0.8305911129760428
1000,0.9,0.25,2,global,10,5,0.5,10,5,5,0,1,4,0,0.0,"{""both_failed_constraints"": 5}",5,-0.02222222222222222,0.022222222222222216,-0.08392100233772873,0.03947655789328428,10,-0.016198160962712472,0.015316588056063599,-0.05084669034336617,0.01845036841794123,10,-0.03333333333333337,0.10482201257840673,-0.2704571999064997,0.20379053323983293,10,0.9288888888888888,0.0313920297783957,0.8578751838709164,0.9999025939068611
1000,0.9,0.25,2,loco-matched,10,4,0.4,10,5,6,1,2,1,1,0.018421052631578946,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",4,-0.08333333333333333,0.09487917375888516,-0.38528120931066834,0.2186145426440017,10,-0.00893599274202037,0.026531288138144746,-0.06895393624198755,0.05108195075794681,10,-0.8333333333333334,0.34156502553198664,-1.6060071024018687,-0.060659564264798016,10,0.4311111111111111,0.04378719269569694,0.332057599515715,0.5301646227065072
1000,0.9,0.25,4,global,10,6,0.6,10,6,6,0,1,5,0,0.0,"{""both_failed_constraints"": 4}",6,-0.018518518518518517,0.018518518518518517,-0.06612188584511694,0.029084848808079898,10,-0.002101047624399932,0.0021658618291643733,-0.0070005674748753405,0.0027984722260754767,10,-0.06666666666666668,0.10886621079036346,-0.3129391451927866,0.17960581185945323,10,0.9299206349206349,0.026213193610744503,0.8706222712342732,0.9892189986069967
1000,0.9,0.25,4,loco-matched,10,4,0.4,10,6,5,0,2,2,0,0.030831099195710455,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 2}",4,-0.08333333333333331,0.053190394875352105,-0.2526089089809791,0.08594224231431247,10,-0.029292870321638454,0.02978571158651729,-0.09667283113612002,0.03808709049284312,10,-0.2333333333333334,0.2856657807151653,-0.8795542253444859,0.4128875586778191,10,0.4716666666666667,0.06452554496756123,0.3256997429348404,0.617633590398493
1000,0.9,2.0,2,global,10,10,1.0,10,10,10,1,0,9,1,0.0,{},10,0.011111111111111105,0.011111111111111105,-0.0140239684755356,0.03624619069775781,10,0.0010044472681751348,0.0032059000634897,-0.006247802523663309,0.00825669706001358,10,0.033333333333333305,0.09229582069908969,-0.17545431855745128,0.24212098522411787,10,0.9042063492063492,0.02658698570451219,0.8440624090576735,0.964350289355025
1000,0.9,2.0,2,loco-matched,10,7,0.7,10,10,7,3,1,3,3,0.018421052631578946,"{""comparator_failed_constraints"": 3}",7,0.015873015873015848,0.06608463490368675,-0.1458302604514044,0.1775762921974361,10,-0.021786731735001987,0.0071206385075974,-0.037894735138660166,-0.0056787283313438075,10,-0.10000000000000005,0.22798093920759097,-0.6157287146099141,0.41572871460991395,10,0.5228174603174602,0.024443732238416466,0.46752189634880503,0.5781130242861154
