n,rho,snr,contexts,seeds,valid,invalid,valid_fraction,compute_matched,valid_clearing_effect,failure_reasons,gated_constraint_passes,gated_loss_failures,gated_size_failures,ungated_constraint_passes,ungated_loss_failures,ungated_size_failures,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,diagnostic_raw_recall_difference_n,diagnostic_raw_recall_difference_mean,diagnostic_raw_recall_difference_mcse,diagnostic_raw_recall_difference_low,diagnostic_raw_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high
1000,0.5,2.0,2,10,10,0,1.0,10,2,{},10,0,0,10,0,0,10,-0.03333333333333335,0.03333333333333333,-0.1087385720932735,0.04207190542660682,10,-0.03333333333333335,0.03333333333333333,-0.1087385720932735,0.04207190542660682,10,0.002056840849874897,0.0021790287257470145,-0.0028724645900167576,0.006986146289766551,10,-0.2333333333333334,0.21111111111111105,-0.7108998454796209,0.2442331788129542
1000,0.5,2.0,4,10,10,0,1.0,10,2,{},10,0,0,10,0,0,10,-0.02222222222222222,0.03228814032252351,-0.09526307012625232,0.05081862568180787,10,-0.02222222222222222,0.03228814032252351,-0.09526307012625232,0.05081862568180787,10,0.0025381307826377263,0.004009470949252922,-0.0065319226442460895,0.011608184209521543,10,-0.2999999999999998,0.1606314699422329,-0.6633736303006266,0.06337363030062687
1000,0.9,0.25,2,10,8,2,0.8,10,2,"{""both_failed_constraints"": 1, ""candidate_failed_constraints"": 1}",8,2,0,9,1,0,8,-0.027777777777777797,0.034821287251556046,-0.11011703808448586,0.054561482528930276,10,-0.011111111111111127,0.030765273566363244,-0.08070699507470601,0.058484772852483755,10,0.037557633145474736,0.035858678694627555,-0.043560333712056365,0.11867560000300584,10,-0.3666666666666666,0.26034165586355507,-0.955600408253153,0.22226707491981978
1000,0.9,0.25,4,10,9,1,0.9,10,3,"{""candidate_failed_constraints"": 1}",9,1,0,10,0,0,9,0.012345679012345678,0.043209876543209874,-0.08729647497795778,0.11198783300264914,10,0.02222222222222222,0.0398901096824778,-0.06801547512080097,0.1124599195652454,10,0.026134955676838833,0.0344580661034309,-0.0518146053752114,0.10408451672888908,10,-0.2333333333333333,0.34444444444444433,-1.0125208005193815,0.5458541338527149
1000,0.9,2.0,2,10,10,0,1.0,10,5,{},10,0,0,10,0,0,10,0.022222222222222244,0.049135182079339264,-0.08892928186394906,0.13337372630839356,10,0.022222222222222244,0.049135182079339264,-0.08892928186394906,0.13337372630839356,10,0.002547240125366268,0.004524766804673635,-0.007688493511817743,0.01278297376255028,10,-0.4333333333333333,0.28566578071516535,-1.0795542253444859,0.21288755867781933
1000,0.9,2.0,4,10,10,0,1.0,10,4,{},10,0,0,10,0,0,10,0.03333333333333335,0.03333333333333335,-0.04207190542660685,0.10873857209327353,10,0.03333333333333335,0.03333333333333335,-0.04207190542660685,0.10873857209327353,10,-0.0021970276470804294,0.002641232434119186,-0.008171910516538084,0.0037778552223772257,10,1.7763568394002506e-16,0.24343224778007386,-0.5506820029717613,0.5506820029717617
3000,0.5,0.25,2,10,10,0,1.0,10,4,{},10,0,0,10,0,0,10,0.02222222222222221,0.02771598064276994,-0.0404756819127962,0.08492012635724062,10,0.02222222222222221,0.02771598064276994,-0.0404756819127962,0.08492012635724062,10,0.00047562714737656717,0.004267804133859785,-0.009178816543454135,0.010130070838207269,10,0.30000000000000004,0.24570382652773307,-0.25582067110663886,0.855820671106639
3000,0.5,0.25,4,10,10,0,1.0,10,2,{},10,0,0,10,0,0,10,-0.02222222222222221,0.0322881403225235,-0.09526307012625229,0.050818625681807866,10,-0.02222222222222221,0.0322881403225235,-0.09526307012625229,0.050818625681807866,10,0.003430704378848848,0.00255528117375736,-0.0023497432313297683,0.009211151989027465,10,-0.10000000000000005,0.2111111111111111,-0.5775665121462877,0.37756651214628767
3000,0.5,2.0,2,10,10,0,1.0,10,3,{},10,0,0,10,0,0,10,0.011111111111111117,0.025925925925925936,-0.04753740792439792,0.06975963014662015,10,0.011111111111111117,0.025925925925925936,-0.04753740792439792,0.06975963014662015,10,-0.0002792383657400088,0.0015207655588846622,-0.0037194490677077627,0.003160972336227745,10,-0.033333333333333395,0.15275252316519466,-0.3788835477469772,0.3122168810803104
3000,0.5,2.0,4,10,10,0,1.0,10,3,{},10,0,0,10,0,0,10,0.022222222222222233,0.022222222222222233,-0.02804793695107123,0.0724923813955157,10,0.022222222222222233,0.022222222222222233,-0.02804793695107123,0.0724923813955157,10,-0.0006665699129310365,0.0022081550189287894,-0.005661763605569603,0.00432862377970753,10,-0.033333333333333395,0.14444444444444446,-0.3600893679597408,0.293422701293074
