n,rho,snr,method,seeds,constraint_passes,loss_failures,size_failures,boundary_ties,folds,mean_outer_loss_n,mean_outer_loss_mean,mean_outer_loss_mcse,mean_outer_loss_low,mean_outer_loss_high,mean_selected_size_n,mean_selected_size_mean,mean_selected_size_mcse,mean_selected_size_low,mean_selected_size_high,class_recall_n,class_recall_mean,class_recall_mcse,class_recall_low,class_recall_high,model_fits_n,model_fits_mean,model_fits_mcse,model_fits_low,model_fits_high,wall_clock_seconds_n,wall_clock_seconds_mean,wall_clock_seconds_mcse,wall_clock_seconds_low,wall_clock_seconds_high,mean_pairwise_jaccard_n,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_mcse,mean_pairwise_jaccard_low,mean_pairwise_jaccard_high
1000,0.5,0.25,global-T2,10,6,4,0,0,30,10,5.09393768196813,0.09586263515372749,4.8770813352104145,5.310794028725846,10,1.7333333333333332,0.15555555555555553,1.381442219120279,2.0852244475463872,10,0.38888888888888884,0.024845199749997656,0.3326851423132795,0.4450926354644982,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.12965,0.015561364193269044,2.0944477485272848,2.164852251472715,10,0.5444444444444444,0.0823189287810847,0.35822609006843836,0.7306627988204504
1000,0.5,0.25,global-T4,10,6,4,0,0,30,10,5.088473447690567,0.09391667029690748,4.8760191792722605,5.300927716108873,10,1.9666666666666668,0.22470831573507424,1.4583411406862479,2.4749921926470857,10,0.4444444444444445,0.03703703703703703,0.36066084582228874,0.5282280430666002,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,4.115679999999999,0.027128925931968282,4.0543101058839754,4.177049894116023,10,0.5961111111111111,0.08561906413095847,0.40242733191518454,0.7897948903070378
1000,0.5,0.25,local-T2,10,5,5,0,1,30,10,5.102458932537095,0.09272680403874736,4.892696328597458,5.3122215364767325,10,2.0333333333333337,0.2873892701417236,1.3832136373708854,2.683453029295782,10,0.45555555555555555,0.042065987746668684,0.3603956800642475,0.5507154310468636,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.11156,0.014481529998971487,2.0788005031845493,2.1443194968154504,10,0.5067460317460317,0.0692294479921931,0.3501381400939263,0.6633539233981371
1000,0.5,0.25,local-T4,10,6,4,0,0,30,10,5.0868603557481356,0.09567038288089187,4.870438913846479,5.303281797649792,10,2.1333333333333337,0.34498165991688945,1.352930600318328,2.9137360663483394,10,0.45555555555555555,0.05091750772173155,0.34037215075100763,0.5707389603601035,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,4.12584,0.02949434296041644,4.059119160810067,4.192560839189933,10,0.5902777777777778,0.09644153043615047,0.3721118789104189,0.8084436766451366
1000,0.5,0.25,loco-gated-B1,10,4,6,0,3,30,10,5.129054128115418,0.09245693747864514,4.919902004747715,5.338206251483121,10,2.1333333333333333,0.24944382578492943,1.5690521961181676,2.697614470548499,10,0.48888888888888893,0.0377705149155021,0.4034460480302094,0.5743317297475684,10,591.0,0.0,591.0,591.0,10,1.18746,0.01030680681232877,1.164144383143913,1.2107756168560868,10,0.41587301587301584,0.10190735792569304,0.1853425561995689,0.6464034755464627
1000,0.5,0.25,loco-matched-T2,10,6,4,0,0,30,10,5.082307187909096,0.088208960337197,4.882764656459323,5.28184971935887,10,2.166666666666667,0.3113094605804867,1.4624357405676736,2.8708975927656604,10,0.45555555555555555,0.030765273566363233,0.38595967159196065,0.5251514395191504,10,1140.0,0.0,1140.0,1140.0,10,2.3235,0.017958730467379905,2.2828745292384545,2.3641254707615458,10,0.5501587301587302,0.0775584316606488,0.37470936844219843,0.7256080918752619
1000,0.5,0.25,loco-matched-T4,10,6,4,0,0,30,10,5.094973104205939,0.08451880595351166,4.9037782819270515,5.286167926484827,10,2.4,0.3173968190463488,1.6819985123449364,3.1180014876550635,10,0.4444444444444445,0.033126932999996875,0.36950611567696534,0.5193827732119236,10,2238.0,0.0,2238.0,2238.0,10,4.52303,0.036852749181332745,4.4396632894706425,4.606396710529358,10,0.49978835978835984,0.09272888935518157,0.29002103853521366,0.709555681041506
1000,0.5,0.25,loco-ungated-B1,10,4,6,0,0,30,10,5.1279304276406705,0.09010299919453527,4.924103282623152,5.331757572658189,10,1.8999999999999997,0.22798093920759102,1.3842712853900856,2.415728714609914,10,0.4666666666666667,0.03628873693012115,0.3845758404912934,0.54875749284204,10,186.0,0.0,186.0,186.0,10,0.36813,0.0037640418583101717,0.3596151457491514,0.37664485425084865,10,0.41841269841269846,0.08785282120557979,0.21967580965046613,0.6171495871749308
1000,0.5,2.0,global-T2,10,9,1,0,0,30,10,0.990614581269648,0.014638959897216499,0.957498953282244,1.023730209257052,10,2.8999999999999995,0.14098419489388356,2.5810715936794626,3.2189284063205363,10,0.5888888888888888,0.02892685065150612,0.5234518064903904,0.6543259712873872,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.0998200000000002,0.019476862626659815,2.055760275700265,2.1438797242997354,10,0.7138888888888888,0.0436365617331414,0.615176128204377,0.8126016495734006
1000,0.5,2.0,global-T4,10,8,2,0,0,30,10,0.9927819007083529,0.017370722582218535,0.9534865961960067,1.032077205220699,10,2.9666666666666663,0.16814162167135058,2.586303892838315,3.347029440495018,10,0.5777777777777777,0.0322881403225235,0.5047369298737476,0.6508186256818078,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,4.09374,0.03813021315906268,4.0074834651832045,4.179996534816796,10,0.6633333333333333,0.0310669881118678,0.5930549236495049,0.7336117430171618
