n,rho,snr,contexts,seeds,both_valid,recovered,lost,neither_valid,one_se_valid,argmin_valid,validity_difference_n,validity_difference_mean,validity_difference_mcse,validity_difference_low,validity_difference_high,common_one_se_recall_effect_n,common_one_se_recall_effect_mean,common_one_se_recall_effect_mcse,common_one_se_recall_effect_low,common_one_se_recall_effect_high,common_argmin_recall_effect_n,common_argmin_recall_effect_mean,common_argmin_recall_effect_mcse,common_argmin_recall_effect_low,common_argmin_recall_effect_high,common_recall_effect_change_n,common_recall_effect_change_mean,common_recall_effect_change_mcse,common_recall_effect_change_low,common_recall_effect_change_high,gated_loss_change_n,gated_loss_change_mean,gated_loss_change_mcse,gated_loss_change_low,gated_loss_change_high,gated_size_change_n,gated_size_change_mean,gated_size_change_mcse,gated_size_change_low,gated_size_change_high,ungated_loss_change_n,ungated_loss_change_mean,ungated_loss_change_mcse,ungated_loss_change_low,ungated_loss_change_high,ungated_size_change_n,ungated_size_change_mean,ungated_size_change_mcse,ungated_size_change_low,ungated_size_change_high
1000,0.5,2.0,2,10,9,1,0,0,9,10,10,0.1,0.09999999999999999,-0.12621571627982048,0.3262157162798205,9,-0.01234567901234566,0.028953183702613752,-0.07911184035789884,0.054420482333207516,9,-0.037037037037037056,0.03703703703703704,-0.12244459760015433,0.04837052352608021,9,-0.024691358024691395,0.035993530215094445,-0.10769258754129528,0.05830987149191248,10,-0.01960652647304546,0.004306363442002034,-0.029348197378982692,-0.009864855567108227,10,1.5999999999999996,0.20964402515681338,1.1257522668536672,2.0742477331463323,10,-0.02034035696333193,0.003496922379305516,-0.028250944971427244,-0.012429768955236615,10,1.8333333333333328,0.1808757844011078,1.424163882073623,2.2425027845930425
1000,0.5,2.0,4,10,10,0,0,0,10,10,10,0.0,0.0,0.0,0.0,10,-1.1102230246251566e-17,0.02342427896421021,-0.05298940044227146,0.052989400442271434,10,-0.02222222222222222,0.03228814032252351,-0.09526307012625232,0.05081862568180787,10,-0.02222222222222221,0.0398901096824778,-0.1124599195652454,0.06801547512080097,10,-0.019405701780792806,0.0053167278033948205,-0.031432975663890764,-0.007378427897694847,10,1.3333333333333335,0.2854496128592251,0.6876014469858629,1.979065219680804,10,-0.020081895493786316,0.004369990288315686,-0.029967500325858237,-0.010196290661714394,10,1.8,0.20000000000000004,1.347568567440359,2.252431432559641
1000,0.9,0.25,2,10,7,1,0,2,7,8,10,0.1,0.09999999999999999,-0.12621571627982048,0.3262157162798205,7,-7.93016446160826e-18,0.03428963332490931,-0.0839037101541364,0.08390371015413638,7,-0.031746031746031765,0.03994621394323148,-0.12949089605209768,0.06599883256003414,7,-0.03174603174603176,0.020491975376758825,-0.08188808914879403,0.018396025656730507,10,-0.025029990613923393,0.01360256168838804,-0.055801122969714845,0.005741141741868055,10,1.3333333333333335,0.24343224778007377,0.7826513303615722,1.8840153363050947,10,-0.025829144330077013,0.008766634882264873,-0.04566065022262909,-0.0059976384375249325,10,1.6666666666666665,0.3103164454170875,0.9646820969323238,2.3686512364010093
1000,0.9,0.25,4,10,7,2,0,1,7,9,10,0.2,0.13333333333333333,-0.10162095503976065,0.5016209550397607,7,0.07936507936507935,0.03174603174603173,0.0016853380588895822,0.15704482067126913,7,0.015873015873015872,0.05649247752397519,-0.12235909688094038,0.15410512862697212,7,-0.06349206349206347,0.04098395075351763,-0.16377617829758795,0.036792051313461,10,-0.04017390054739032,0.016508313210309454,-0.07751829952180808,-0.0028295015729725564,10,1.2333333333333332,0.23333333333333328,0.7054966620137522,1.7611700046529142,10,-0.043059700290935685,0.018275680917903353,-0.08440216278438523,-0.001717237797486143,10,1.8,0.31111111111111106,1.096217771573892,2.503782228426108
1000,0.9,2.0,2,10,10,0,0,0,10,10,10,0.0,0.0,0.0,0.0,10,0.02222222222222222,0.04319223625811334,-0.07548540440634122,0.11992984885078564,10,0.022222222222222244,0.049135182079339264,-0.08892928186394906,0.13337372630839356,10,2.2204460492503132e-17,0.046848557928420444,-0.10597880088454291,0.10597880088454296,10,-0.023069184942507193,0.006462371597598759,-0.03768808514067891,-0.008450284744335481,10,1.0666666666666669,0.17069212773041345,0.680534247288046,1.4527990860452877,10,-0.012339587009963682,0.004675671779070265,-0.02291669141588091,-0.0017624826040464562,10,1.2000000000000002,0.13333333333333333,0.8983790449602396,1.5016209550397608
1000,0.9,2.0,4,10,10,0,0,0,10,10,10,0.0,0.0,0.0,0.0,10,0.07777777777777777,0.03722176155970699,-0.006423696746480287,0.1619792523020358,10,0.03333333333333335,0.03333333333333335,-0.04207190542660685,0.10873857209327353,10,-0.04444444444444442,0.02456759103966962,-0.10002019648753005,0.011131307598641213,10,-0.009414633798007244,0.004141267499494578,-0.018782831735052317,-4.643586096217227e-05,10,1.0333333333333334,0.19531550923607716,0.5914989551093626,1.4751677115573043,10,-0.013931284595707671,0.0039999733216077235,-0.02297985289618431,-0.004882716295231031,10,1.4666666666666666,0.10183501544346311,1.2362998570575707,1.6970334762757624
3000,0.5,0.25,2,10,4,6,0,0,4,10,10,0.6,0.1632993161855452,0.2305912822108201,0.9694087177891799,4,0.0,0.0,0.0,0.0,4,-0.027777777777777818,0.05319039487535212,-0.19705335342542363,0.141497797869868,4,-0.027777777777777818,0.05319039487535212,-0.19705335342542363,0.141497797869868,10,-0.04986599202543181,0.014124123329151455,-0.081816978782717,-0.017915005268146614,10,2.3666666666666663,0.24570382652773307,1.8108459955600273,2.922487337773305,10,-0.0506753897394228,0.014947805581868739,-0.08448967520456216,-0.016861104274283445,10,2.033333333333333,0.2247083157350742,1.5250078073529145,2.5416588593137517
3000,0.5,0.25,4,10,4,6,0,0,4,10,10,0.6,0.1632993161855452,0.2305912822108201,0.9694087177891799,4,-0.055555555555555566,0.03207501495497921,-0.15763256839094883,0.0465214572798377,4,-0.055555555555555525,0.07172191381865586,-0.2838066951956134,0.17269558408450233,4,4.163336342344337e-17,0.07856742013183862,-0.25003659591424254,0.25003659591424265,10,-0.05156121018796709,0.014866003790222938,-0.08519044714420518,-0.017931973231729008,10,2.0333333333333337,0.24570382652773318,1.4775126622266943,2.589154004439973,10,-0.049045567908206425,0.012899547993940445,-0.07822637279955802,-0.019864763016854834,10,2.0333333333333337,0.28738927014172355,1.3832136373708854,2.683453029295782
3000,0.5,2.0,2,10,10,0,0,0,10,10,10,0.0,0.0,0.0,0.0,10,-0.02222222222222222,0.022222222222222213,-0.07249238139551564,0.028047936951071203,10,0.011111111111111117,0.025925925925925936,-0.04753740792439792,0.06975963014662015,10,0.03333333333333334,0.023715274953455004,-0.020314345770353764,0.08698101243702044,10,-0.011708199246898632,0.002231558405918091,-0.016756335079048786,-0.0066600634147484785,10,1.4666666666666668,0.223330569358242,0.9614578195211183,1.9718755138122153,10,-0.011957156934625202,0.0014580617945926353,-0.015255521867065337,-0.008658792002185067,10,1.4333333333333336,0.14098419489388356,1.1144049270127967,1.7522617396538704
3000,0.5,2.0,4,10,10,0,0,0,10,10,10,0.0,0.0,0.0,0.0,10,-1.1102230246251566e-17,0.028688765527462343,-0.06489849642978718,0.06489849642978715,10,0.022222222222222233,0.022222222222222233,-0.02804793695107123,0.0724923813955157,10,0.022222222222222244,0.027715980642769932,-0.04047568191279616,0.08492012635724064,10,-0.013068755512051633,0.0025695850512880802,-0.018881560741242157,-0.00725595028286111,10,1.4,0.1632993161855452,1.03059128221082,1.7694087177891797,10,-0.012097730776448401,0.0022101435056420143,-0.017097422738548418,-0.007098038814348384,10,1.5333333333333337,0.21198648920376567,1.0537865783645908,2.0128800883020763
